,precision,recall,f1-score,support
Alpara,1.0,1.0,1.0,111.0
Diapet,0.9924242424242424,1.0,0.9961977186311787,131.0
Dumin_Paracetamol,0.9939024390243902,1.0,0.9969418960244648,163.0
Laxing,1.0,1.0,1.0,157.0
Oskadon,1.0,0.990990990990991,0.995475113122172,111.0
Panadol,0.9734513274336283,1.0,0.9865470852017937,110.0
Panadol_Anak,1.0,1.0,1.0,155.0
Panadol_Extra,0.9824561403508771,0.9655172413793104,0.9739130434782609,116.0
Paramex_SK,1.0,1.0,1.0,225.0
Procold_Flu,1.0,1.0,1.0,249.0
Sumagesic_Paracetamol,1.0,0.9873417721518988,0.9936305732484076,158.0
accuracy,0.9958481613285883,0.9958481613285883,0.9958481613285883,0.9958481613285883
macro avg,0.9947485590211943,0.9948954549565637,0.9947914027005708,1686.0
weighted avg,0.9958826996541827,0.9958481613285883,0.9958415722053127,1686.0
